Date,Name,Year,Letterboxd URI
2017-12-31,Christine,1983,https://boxd.it/1ZRQ
2018-01-02,Sky Captain and the World of Tomorrow,2004,https://boxd.it/23jS
2018-01-24,Titanic II,2010,https://boxd.it/QMg
2018-01-24,Tank,1984,https://boxd.it/2lwg
2018-01-30,Little Hero,1978,https://boxd.it/3yKM
2018-01-30,Bernie,2011,https://boxd.it/3eWe
2018-01-30,King Kong,2005,https://boxd.it/2aLa
2018-02-12,Cars 3,2017,https://boxd.it/7IPq
2018-02-13,Ocean's Eleven,2001,https://boxd.it/2aZm
2018-02-18,Mom and Dad,2017,https://boxd.it/e6BO
2018-03-04,Motocrossed,2001,https://boxd.it/2pPG
2018-03-15,The Princess Diaries,2001,https://boxd.it/1XCO
2018-04-17,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2018-04-28,Network,1976,https://boxd.it/1VqG
2018-04-30,Titanic,1997,https://boxd.it/2a2k
2018-06-08,The King's Speech,2010,https://boxd.it/dX0
2018-09-25,Riki-Oh: The Story of Ricky,1991,https://boxd.it/1IDs
2018-09-25,Citizen Kane,1941,https://boxd.it/71O
2018-10-08,Drive,2011,https://boxd.it/IG
2018-10-08,No Country for Old Men,2007,https://boxd.it/21ew
2018-10-28,Black Panther,2018,https://boxd.it/8MHs
2018-11-05,"I, Tonya",2017,https://boxd.it/dzR0
2018-12-10,Dumplin',2018,https://boxd.it/gXcc
2018-12-13,Hanna,2011,https://boxd.it/DBE
2019-01-04,The Informant!,2009,https://boxd.it/1U8c
2019-01-16,Get Out,2017,https://boxd.it/eOCm
2019-01-17,Black Cop,2017,https://boxd.it/gUfM
2019-01-25,The Toxic Avenger,1984,https://boxd.it/1MAi
2019-02-24,The Great Waldo Pepper,1975,https://boxd.it/1EBC
2019-03-14,The Time Machine,2002,https://boxd.it/27mG
2019-07-31,I'm Just F*cking with You,2019,https://boxd.it/lyFo
2019-08-18,Hancock,2008,https://boxd.it/1Zv6
2019-09-25,The Breakfast Club,1985,https://boxd.it/27q4
2019-09-27,American Psycho,2000,https://boxd.it/28Vs
2019-09-27,Simon Amstell: Set Free,2019,https://boxd.it/n64I
2019-10-22,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc
2019-10-28,Joker,2019,https://boxd.it/h4cS
2019-11-15,Inside Out,2015,https://boxd.it/4KHC
2019-11-29,The Abyss,1989,https://boxd.it/26mK
2019-12-02,Hit & Run,2012,https://boxd.it/3GFA
2019-12-03,Battle of Britain,1969,https://boxd.it/1TNe
2019-12-09,Miracle on 34th Street,1994,https://boxd.it/1W5k
2020-01-13,Ocean's Eight,2018,https://boxd.it/eaai
2020-03-01,Homecoming: A Film by Beyoncé,2019,https://boxd.it/lS2Q
2020-03-10,Spenser Confidential,2020,https://boxd.it/log4
2020-03-17,Brooklyn,2015,https://boxd.it/5bdk
2020-03-21,1917,2019,https://boxd.it/jj4y
2020-04-15,The Iron Giant,1999,https://boxd.it/1Wow
2020-04-28,Gone in Sixty Seconds,2000,https://boxd.it/1Y4y
2020-05-02,Baby Boy,2001,https://boxd.it/1KGS
2020-07-06,Wild Wild West,1999,https://boxd.it/205y
2020-09-04,Beastie Boys Story,2020,https://boxd.it/oIW6
2020-09-05,Capone,2020,https://boxd.it/fdAU
2020-11-11,overshare: the links.net story,2015,https://boxd.it/bYhs
2020-11-17,Silicon Cowboys,2016,https://boxd.it/dg9e
2020-12-10,Brink 2: Val's Revenge,2011,https://boxd.it/t2vi
2021-01-02,The Color Purple,1985,https://boxd.it/29oO
2021-01-04,War Dogs,2016,https://boxd.it/9SlO
2021-01-05,Ad Astra,2019,https://boxd.it/ePzI
2021-01-08,Blade,1998,https://boxd.it/1a8A
2021-01-25,Rush,2013,https://boxd.it/3lyS
2021-01-30,The Talented Mr. Ripley,1999,https://boxd.it/2924
2021-02-10,Shutter Island,2010,https://boxd.it/1U82
2021-02-11,Kill the Messenger,2014,https://boxd.it/7dFO
2021-03-01,Lupe,2019,https://boxd.it/patm
2021-03-10,I Care a Lot,2020,https://boxd.it/mcHk
2021-06-08,Galveston,2018,https://boxd.it/8Lqq
2021-07-18,The Lizzie McGuire Movie,2003,https://boxd.it/1GoA
2021-07-19,Big Hero 6,2014,https://boxd.it/5rje
2021-07-27,Agent Cody Banks,2003,https://boxd.it/1V4g
2021-08-01,Zenon: Girl of the 21st Century,1999,https://boxd.it/1djc
2021-08-03,Ice Princess,2005,https://boxd.it/1QjA
2021-08-04,Ralph Breaks the Internet,2018,https://boxd.it/edAy
2021-09-06,CODA,2021,https://boxd.it/tbf4
2021-09-15,Tru Confessions,2002,https://boxd.it/2pPw
2021-10-22,The Guilty,2021,https://boxd.it/kOPW
2021-12-13,All Cars Go To Heaven - Volume 1: The Washington Discovery Route,2014,https://boxd.it/8oUi
2021-12-13,All Cars Go To Heaven - Volume 2: Better Than A Horse,2015,https://boxd.it/d4qC
2022-01-11,The Luck of the Irish,2001,https://boxd.it/Obs
2022-03-20,The Shawshank Redemption,1994,https://boxd.it/2aHi
2022-03-23,The Courier,2020,https://boxd.it/iX7A
2022-04-10,Michael Clayton,2007,https://boxd.it/2466
2022-05-14,When Harry Met Sally...,1989,https://boxd.it/29W2
2022-06-11,Val,2021,https://boxd.it/vs5a
2022-10-27,Point Break,1991,https://boxd.it/2958
2023-04-17,Emancipation,2022,https://boxd.it/qOa2
2023-08-06,The Spirit of St. Louis,1957,https://boxd.it/1Glc
2023-08-10,Cats Don't Dance,1997,https://boxd.it/1xfu
2024-03-19,Come Sunday,2018,https://boxd.it/fg4i
